00000002265c04a8 (__TEXT,__text) non-external _DiToMD5
00000002949c47c8 (__DATA,__common) external _gOSBundleMetaClass
000000028fe31578 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gOSBundle_Declaration
00000002949c47d0 (__DATA,__common) external _gOSCollectionMetaClass
000000028fe31580 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gOSCollection_Declaration
00000002949c47d8 (__DATA,__common) external _gOSContainerMetaClass
000000028fe31588 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gOSContainer_Declaration
00000002949c47e0 (__DATA,__common) external _gOSDataMetaClass
000000028fe31590 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gOSData_Declaration
00000002949c47e8 (__DATA,__common) external _gOSDictionaryMetaClass
000000028fe31598 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gOSDictionary_Declaration
00000002949c47f0 (__DATA,__common) external _gOSMappedFileMetaClass
000000028fe315a0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gOSMappedFile_Declaration
0000000298ddfdb0 (__DATA_DIRTY,__common) non-external (was a private external) _gOSMetaClassBasePrivateLayout
000000028fe31490 (__DATA_CONST,__structlayouts) non-external (was a private external) _gOSMetaClassBasePrivateLayout_Declaration
0000000298ddfbd0 (__DATA_DIRTY,__common) non-external (was a private external) _gOSMetaClassBaseRemotePrivateLayout
000000028fe31488 (__DATA_CONST,__structlayouts) non-external (was a private external) _gOSMetaClassBaseRemotePrivateLayout_Declaration
00000002949c47f8 (__DATA,__common) external _gOSNumberMetaClass
000000028fe315a8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gOSNumber_Declaration
00000002949c4800 (__DATA,__common) external _gOSObjectMetaClass
000000028fe315b0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gOSObject_Declaration
00000002949c4808 (__DATA,__common) external _gOSOrderedSetMetaClass
000000028fe315b8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gOSOrderedSet_Declaration
00000002949c4810 (__DATA,__common) external _gOSSerializationMetaClass
000000028fe315c0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gOSSerialization_Declaration
00000002949c4818 (__DATA,__common) external _gOSSetMetaClass
000000028fe315c8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gOSSet_Declaration
00000002949c4820 (__DATA,__common) external _gOSStringMetaClass
000000028fe315d0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gOSString_Declaration
00000002949c4828 (__DATA,__common) external _g_IOBlockStorageDeviceMetaClass
000000028fe315d8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _g_IOBlockStorageDevice_Declaration
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getsectiondata (from libSystem)
                 (undefined) external _host_get_io_main (from libSystem)
00000002265b62b8 (__TEXT,__text) non-external (was a private external) _io_catalog_get_data
00000002265b6484 (__TEXT,__text) non-external (was a private external) _io_catalog_get_gen_count
00000002265b65d4 (__TEXT,__text) non-external (was a private external) _io_catalog_module_loaded
00000002265b6770 (__TEXT,__text) non-external (was a private external) _io_catalog_reset
00000002265b5f70 (__TEXT,__text) non-external (was a private external) _io_catalog_send_data
00000002265b6114 (__TEXT,__text) non-external (was a private external) _io_catalog_terminate
00000002265b4e64 (__TEXT,__text) non-external (was a private external) _io_connect_add_client
00000002265b8590 (__TEXT,__text) non-external (was a private external) _io_connect_async_method
00000002265b6de8 (__TEXT,__text) non-external (was a private external) _io_connect_get_notification_semaphore
00000002265b4cfc (__TEXT,__text) non-external (was a private external) _io_connect_get_service
00000002265b7ea8 (__TEXT,__text) non-external (was a private external) _io_connect_map_memory_into_task
00000002265b48dc (__TEXT,__text) non-external (was a private external) _io_connect_map_shared_memory
00000002265b81ac (__TEXT,__text) non-external (was a private external) _io_connect_method
00000002265b9448 (__TEXT,__text) non-external (was a private external) _io_connect_method_var_output
00000002265b89c4 (__TEXT,__text) non-external (was a private external) _io_connect_set_notification_port
00000002265b4f8c (__TEXT,__text) non-external (was a private external) _io_connect_set_properties
00000002265b8040 (__TEXT,__text) non-external (was a private external) _io_connect_unmap_memory_from_task
00000002265bb28c (__TEXT,__text) non-external (was a private external) _io_device_tree_entry_exists_with_name
00000002265b5e20 (__TEXT,__text) non-external (was a private external) _io_iterator_is_valid
00000002265b31c4 (__TEXT,__text) non-external (was a private external) _io_iterator_next
00000002265b332c (__TEXT,__text) non-external (was a private external) _io_iterator_reset
00000002265b2fec (__TEXT,__text) non-external (was a private external) _io_object_conforms_to
00000002265b7ad4 (__TEXT,__text) non-external (was a private external) _io_object_get_bundle_identifier
00000002265b2e04 (__TEXT,__text) non-external (was a private external) _io_object_get_class
00000002265b5858 (__TEXT,__text) non-external (was a private external) _io_object_get_retain_count
00000002265b78b4 (__TEXT,__text) non-external (was a private external) _io_object_get_superclass
00000002265b3864 (__TEXT,__text) non-external (was a private external) _io_registry_create_iterator
00000002265b5c20 (__TEXT,__text) non-external (was a private external) _io_registry_entry_create_iterator
00000002265b3c9c (__TEXT,__text) non-external (was a private external) _io_registry_entry_from_path
00000002265bb018 (__TEXT,__text) non-external (was a private external) _io_registry_entry_from_path_ool
00000002265b44fc (__TEXT,__text) non-external (was a private external) _io_registry_entry_get_child_iterator
00000002265b6f64 (__TEXT,__text) non-external (was a private external) _io_registry_entry_get_location_in_plane
00000002265b3eb4 (__TEXT,__text) non-external (was a private external) _io_registry_entry_get_name
00000002265b69c8 (__TEXT,__text) non-external (was a private external) _io_registry_entry_get_name_in_plane
00000002265b46ec (__TEXT,__text) non-external (was a private external) _io_registry_entry_get_parent_iterator
00000002265b5130 (__TEXT,__text) non-external (was a private external) _io_registry_entry_get_path
00000002265bad78 (__TEXT,__text) non-external (was a private external) _io_registry_entry_get_path_ool
00000002265b409c (__TEXT,__text) non-external (was a private external) _io_registry_entry_get_properties
00000002265b9ff0 (__TEXT,__text) non-external (was a private external) _io_registry_entry_get_properties_bin
00000002265bb464 (__TEXT,__text) non-external (was a private external) _io_registry_entry_get_properties_bin_buf
00000002265b3660 (__TEXT,__text) non-external (was a private external) _io_registry_entry_get_property
00000002265ba1a4 (__TEXT,__text) non-external (was a private external) _io_registry_entry_get_property_bin
00000002265bb634 (__TEXT,__text) non-external (was a private external) _io_registry_entry_get_property_bin_buf
00000002265b4250 (__TEXT,__text) non-external (was a private external) _io_registry_entry_get_property_bytes
00000002265b7184 (__TEXT,__text) non-external (was a private external) _io_registry_entry_get_property_recursively
00000002265b92c8 (__TEXT,__text) non-external (was a private external) _io_registry_entry_get_registry_entry_id
00000002265b5680 (__TEXT,__text) non-external (was a private external) _io_registry_entry_in_plane
00000002265b54dc (__TEXT,__text) non-external (was a private external) _io_registry_entry_set_properties
00000002265b5374 (__TEXT,__text) non-external (was a private external) _io_registry_get_root_entry
00000002265b3a64 (__TEXT,__text) non-external (was a private external) _io_registry_iterator_enter_entry
00000002265b3b80 (__TEXT,__text) non-external (was a private external) _io_registry_iterator_exit_entry
00000002265b9e70 (__TEXT,__text) non-external (was a private external) _io_server_version
00000002265b8dec (__TEXT,__text) non-external (was a private external) _io_service_add_interest_notification
00000002265b8b30 (__TEXT,__text) non-external (was a private external) _io_service_add_notification
00000002265baaa8 (__TEXT,__text) non-external (was a private external) _io_service_add_notification_bin
00000002265b9048 (__TEXT,__text) non-external (was a private external) _io_service_add_notification_ool
00000002265b4be0 (__TEXT,__text) non-external (was a private external) _io_service_close
00000002265b9bc8 (__TEXT,__text) non-external (was a private external) _io_service_get_authorization_id
00000002265b59a8 (__TEXT,__text) non-external (was a private external) _io_service_get_busy_state
00000002265b9814 (__TEXT,__text) non-external (was a private external) _io_service_get_matching_service
00000002265ba418 (__TEXT,__text) non-external (was a private external) _io_service_get_matching_service_bin
00000002265b9a2c (__TEXT,__text) non-external (was a private external) _io_service_get_matching_service_ool
00000002265b3448 (__TEXT,__text) non-external (was a private external) _io_service_get_matching_services
00000002265ba650 (__TEXT,__text) non-external (was a private external) _io_service_get_matching_services_bin
00000002265b7598 (__TEXT,__text) non-external (was a private external) _io_service_get_matching_services_ool
00000002265b73f8 (__TEXT,__text) non-external (was a private external) _io_service_get_state
00000002265b6be8 (__TEXT,__text) non-external (was a private external) _io_service_match_property_table
00000002265ba888 (__TEXT,__text) non-external (was a private external) _io_service_match_property_table_bin
00000002265b7734 (__TEXT,__text) non-external (was a private external) _io_service_match_property_table_ool
00000002265b7cf4 (__TEXT,__text) non-external (was a private external) _io_service_open_extended
00000002265b689c (__TEXT,__text) non-external (was a private external) _io_service_request_probe
00000002265b9d48 (__TEXT,__text) non-external (was a private external) _io_service_set_authorization_id
00000002265b5af8 (__TEXT,__text) non-external (was a private external) _io_service_wait_quiet
00000002265bb8cc (__TEXT,__text) non-external (was a private external) _io_service_wait_quiet_with_options
000000022659ea78 (__TEXT,__text) non-external (was a private external) _iokit_user_client_trap
00000002949c46e0 (__DATA,__common) external _kOSBooleanFalse
00000002949c46d8 (__DATA,__common) external _kOSBooleanTrue
                 (undefined) external _mach_absolute_time (from libSystem)
                 (undefined) external _mach_continuous_time (from libSystem)
                 (undefined) external _mach_error (from libSystem)
                 (undefined) external _mach_error_string (from libSystem)
                 (undefined) external _mach_host_self (from libSystem)
                 (undefined) external _mach_msg2_internal (from libSystem)
                 (undefined) external _mach_msg_destroy (from libSystem)
                 (undefined) external _mach_port_allocate (from libSystem)
                 (undefined) external _mach_port_deallocate (from libSystem)
                 (undefined) external _mach_port_mod_refs (from libSystem)
                 (undefined) external _mach_ports_lookup (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
                 (undefined) external _mach_timebase_info (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _mig_dealloc_reply_port (from libSystem)
                 (undefined) external _mig_deallocate (from libSystem)
                 (undefined) external _mig_get_reply_port (from libSystem)
                 (undefined) external _mig_put_reply_port (from libSystem)
                 (undefined) external _mig_strncpy (from libSystem)
                 (undefined) weak external _mig_strncpy_zerofill (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
00000002265a0648 (__TEXT,__text) external _nanoseconds_to_absolutetime
00000002265d2200 (__TEXT,__text) non-external _nanoseconds_to_absolutetime.cold.1
00000002265d222c (__TEXT,__text) non-external _nanoseconds_to_absolutetime.cold.2
                 (undefined) external _open (from libSystem)
                 (undefined) external _os_eventlink_activate (from libSystem)
                 (undefined) external _os_eventlink_associate (from libSystem)
                 (undefined) external _os_eventlink_cancel (from libSystem)
                 (undefined) external _os_eventlink_create_with_port (from libSystem)
                 (undefined) external _os_eventlink_disassociate (from libSystem)
                 (undefined) external _os_eventlink_signal (from libSystem)
                 (undefined) external _os_eventlink_signal_and_wait (from libSystem)
                 (undefined) external _os_eventlink_signal_and_wait_until (from libSystem)
                 (undefined) external _os_eventlink_wait (from libSystem)
                 (undefined) external _os_eventlink_wait_until (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_release (from libSystem)
                 (undefined) external _os_unfair_lock_assert_not_owner (from libSystem)
                 (undefined) external _os_unfair_lock_assert_owner (from libSystem)
                 (undefined) external _os_unfair_lock_lock (from libSystem)
                 (undefined) external _os_unfair_lock_trylock (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
                 (undefined) external _os_unfair_recursive_lock_lock_with_options (from libSystem)
                 (undefined) external _os_unfair_recursive_lock_owned (from libSystem)
                 (undefined) external _os_unfair_recursive_lock_trylock (from libSystem)
                 (undefined) external _os_unfair_recursive_lock_unlock (from libSystem)
                 (undefined) external _os_workgroup_create_with_port (from libSystem)
                 (undefined) external _os_workgroup_join (from libSystem)
                 (undefined) external _os_workgroup_leave (from libSystem)
00000002265d20e8 (__TEXT,__text) external _panic
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_getschedparam (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setdetachstate (from libSystem)
                 (undefined) external _pthread_attr_setschedparam (from libSystem)
