00000001e7e705e8 (__DATA,__data) non-external _.compoundliteral
                 (undefined) external _longjmp (from libSystem)
                 (undefined) external _lroundf (from libSystem)
00000001d7283df4 (__TEXT,__text) non-external _macro_scan
00000001d725f8f4 (__TEXT,__text) non-external _makeCopyFunction
00000001d72abbc4 (__TEXT,__text) non-external _makeIntConstantNode
00000001d722e5b0 (__TEXT,__text) non-external _makePoolNode
                 (undefined) external _malloc (from libSystem)
00000001d72847e0 (__TEXT,__text) non-external (was a private external) _mem_AddCleanup
00000001d728471c (__TEXT,__text) non-external (was a private external) _mem_Alloc
00000001d728462c (__TEXT,__text) non-external (was a private external) _mem_CreatePool
00000001d72846cc (__TEXT,__text) non-external (was a private external) _mem_FreePool
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00000001d722fb64 (__TEXT,__text) non-external _mergeTypes
00000001e7e74cb4 (__DATA,__bss) non-external _message
00000001e7e74cb0 (__DATA,__bss) non-external _message_lock
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _mprotect (from libSystem)
                 (undefined) external _munmap (from libSystem)
00000001e7e705a8 (__DATA,__data) non-external _mutex
00000001d7268db8 (__TEXT,__text) non-external _nameTablePush
00000001e7e750d8 (__DATA,__bss) non-external _nameTableSets
00000001d7284588 (__TEXT,__text) non-external _noop
00000001d7286500 (__TEXT,__text) non-external _noop
00000001d726132c (__TEXT,__text) non-external _offsetLayout
00000001d7281e8c (__TEXT,__text) non-external _op_add
00000001d7281e2c (__TEXT,__text) non-external _op_and
00000001d7281edc (__TEXT,__text) non-external _op_cmpl
00000001d7281ea4 (__TEXT,__text) non-external _op_div
00000001d7281e34 (__TEXT,__text) non-external _op_eq
00000001d7281e58 (__TEXT,__text) non-external _op_ge
00000001d7281e4c (__TEXT,__text) non-external _op_gt
00000001d7281e70 (__TEXT,__text) non-external _op_le
00000001d7281e0c (__TEXT,__text) non-external _op_logand
00000001d7281dfc (__TEXT,__text) non-external _op_logor
00000001d7281e64 (__TEXT,__text) non-external _op_lt
00000001d7281eb8 (__TEXT,__text) non-external _op_mod
00000001d7281e9c (__TEXT,__text) non-external _op_mul
00000001d7281e40 (__TEXT,__text) non-external _op_ne
00000001d7281ed4 (__TEXT,__text) non-external _op_neg
00000001d7281ee4 (__TEXT,__text) non-external _op_not
00000001d7281e1c (__TEXT,__text) non-external _op_or
00000001d7281ed0 (__TEXT,__text) non-external _op_pos
00000001d7281e7c (__TEXT,__text) non-external _op_shl
00000001d7281e84 (__TEXT,__text) non-external _op_shr
00000001d7281e94 (__TEXT,__text) non-external _op_sub
00000001d7281e24 (__TEXT,__text) non-external _op_xor
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_unfair_lock_lock (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
00000001d7267b7c (__TEXT,__text) non-external _outputForInput
00000001d7256140 (__TEXT,__text) non-external _packInto
00000001d726f17c (__TEXT,__text) non-external _parseInterpolationQualifiers
00000001d726efcc (__TEXT,__text) non-external _parseLayout
00000001d722fa98 (__TEXT,__text) non-external _phase1ProcessFunctionPrototype
00000001d722f824 (__TEXT,__text) non-external _phase1ProcessVariableDeclaration
00000001d72aa714 (__TEXT,__text) non-external (was a private external) _phase2AddDef
00000001d72aa8dc (__TEXT,__text) non-external _phase2Process
00000001d72aac60 (__TEXT,__text) non-external _phase2ProcessConstant
00000001d72aad3c (__TEXT,__text) non-external _phase2ProcessFunctionPrototype
00000001d72aadd8 (__TEXT,__text) non-external _phase2ProcessInterfaceBlock
00000001d72ab250 (__TEXT,__text) non-external _phase2ProcessLValue
00000001d72aacd0 (__TEXT,__text) non-external _phase2ProcessParameterDeclaration
00000001d72aae88 (__TEXT,__text) non-external _phase2ProcessRawCall
00000001d72ab024 (__TEXT,__text) non-external _phase2ProcessSubroutineRawCall
00000001d72ab724 (__TEXT,__text) non-external _phase2ProcessSubroutineUniform
00000001d72aad84 (__TEXT,__text) non-external _phase2ProcessVariableDeclaration
00000001d722e61c (__TEXT,__text) non-external _poolAlloc
00000001e7e750f8 (__DATA,__bss) non-external _poolAllocators
00000001d722e6b0 (__TEXT,__text) non-external _poolFree
00000001d722e6a8 (__TEXT,__text) non-external _poolRealloc
00000001d72f9c50 (__TEXT,__const) non-external _pow_10.down
00000001d72f9b50 (__TEXT,__const) non-external _pow_10.up
                 (undefined) external _powf (from libSystem)
00000001e4f86f08 (__DATA_CONST,__const) non-external (was a private external) _ppstreamOpString
00000001d7233578 (__TEXT,__text) non-external _primitiveTypeOfDeref
                 (undefined) external _printf (from libSystem)
00000001d726793c (__TEXT,__text) non-external _propagateCopyBindings
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00000001d7275424 (__TEXT,__text) non-external (was a private external) _pushdownPrecisionInternal
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _qsort_b (from libSystem)
00000001d726f7ac (__TEXT,__text) non-external _qualifierContextToString
00000001d726e51c (__TEXT,__text) non-external _qualifierMaskToSAFlags
00000001d726f33c (__TEXT,__text) non-external _qualifierMaskToStringBuffer
00000001d7281ef0 (__TEXT,__text) non-external (was a private external) _readCPPline
00000001d722e890 (__TEXT,__text) non-external _readTOC
00000001d72990dc (__TEXT,__text) non-external (was a private external) _real_serialize_GLPValue
                 (undefined) external _realloc (from libSystem)
00000001d72d6e50 (__TEXT,__text) non-external _regEqualsFunction
00000001d72d6e48 (__TEXT,__text) non-external _regHashFunction
00000001d7287638 (__TEXT,__text) non-external _reget_token
00000001d7268f80 (__TEXT,__text) non-external _remap
00000001d72fae74 (__TEXT,__const) non-external (was a private external) _remapSlotToCode
00000001d72ccbcc (__TEXT,__text) non-external _renumberTargets
                 (undefined) external _round (from libSystem)
                 (undefined) external _roundf (from libSystem)
00000001d726d830 (__TEXT,__text) non-external _saInliningNodeReplacement
00000001d72874f4 (__TEXT,__text) non-external _scan_token
00000001d72a3b94 (__TEXT,__text) non-external _serializeASTFields
00000001d729dfbc (__TEXT,__text) non-external _serializeAssignFields
00000001d72a1038 (__TEXT,__text) non-external _serializeBlockFields
00000001d72a4a9c (__TEXT,__text) non-external _serializeCallFields
00000001d72a1488 (__TEXT,__text) non-external _serializeCaseStatementFields
00000001d729e14c (__TEXT,__text) non-external _serializeCommaExprFields
00000001d729dc2c (__TEXT,__text) non-external _serializeConstantFields
00000001d72a1564 (__TEXT,__text) non-external _serializeDefaultStatementFields
00000001d729de04 (__TEXT,__text) non-external _serializeEqualFields
00000001d729dca0 (__TEXT,__text) non-external _serializeFieldAccessFields
00000001d729f660 (__TEXT,__text) non-external _serializeFieldDeclarationFields
00000001d729dcf4 (__TEXT,__text) non-external _serializeFunctionCallFields
00000001d729e604 (__TEXT,__text) non-external _serializeFunctionPrototypeFields
00000001d72a0b4c (__TEXT,__text) non-external _serializeGlobalTypeQualifierFields
00000001d72a2978 (__TEXT,__text) non-external _serializeIBPartialDerefFields
00000001d729f708 (__TEXT,__text) non-external _serializeInterfaceBlockFields
00000001d729fc9c (__TEXT,__text) non-external _serializeKeywordQualifierFields
00000001d72a2598 (__TEXT,__text) non-external _serializeLValueFields
00000001d72a0b94 (__TEXT,__text) non-external _serializeLayoutPairFields
00000001d72a0048 (__TEXT,__text) non-external _serializeLayoutQualifierFields
00000001d729f8f0 (__TEXT,__text) non-external _serializeLayoutTypeFields
00000001d729ddb0 (__TEXT,__text) non-external _serializeMethodCallFields
00000001d729dee0 (__TEXT,__text) non-external _serializeNotEqualFields
00000001d72a1ae4 (__TEXT,__text) non-external _serializeOffsetFields
00000001d729e098 (__TEXT,__text) non-external _serializeOpAssignFields
00000001d72a29c0 (__TEXT,__text) non-external _serializePPStreamOpFields
00000001d729e59c (__TEXT,__text) non-external _serializeParameterDeclarationFields
00000001d729f2b4 (__TEXT,__text) non-external _serializePrimitiveTypeFields
00000001d729eeb4 (__TEXT,__text) non-external _serializeQualifiedDeclarationFields
00000001d729ef08 (__TEXT,__text) non-external _serializeQualifiedDeclarationGroupFields
00000001d72a07a0 (__TEXT,__text) non-external _serializeQualifierListFields
00000001d72a1a34 (__TEXT,__text) non-external _serializeRawCallFields
00000001d729e0bc (__TEXT,__text) non-external _serializeReadInputFields
00000001d72a1640 (__TEXT,__text) non-external _serializeReturnStatementFields
00000001d729f6b4 (__TEXT,__text) non-external _serializeStructTypeFields
00000001d72a4e48 (__TEXT,__text) non-external _serializeStructureFields
00000001d729dd5c (__TEXT,__text) non-external _serializeSubroutineArrayCallFields
00000001d72a1a9c (__TEXT,__text) non-external _serializeSubroutineRawCallFields
00000001d72a03f4 (__TEXT,__text) non-external _serializeSubroutineTypeListFields
00000001d72a3b4c (__TEXT,__text) non-external _serializeSubroutineUniformFields
00000001d72a1688 (__TEXT,__text) non-external _serializeTopLevelFields
00000001d729d394 (__TEXT,__text) non-external _serializeTypeConversionFields
00000001d729dbd8 (__TEXT,__text) non-external _serializeTypeIdentifierFields
00000001d729e9e4 (__TEXT,__text) non-external _serializeVariableDeclarationFields
00000001d729eb08 (__TEXT,__text) non-external _serializeVariableDeclarationGroupFields
00000001d729db84 (__TEXT,__text) non-external _serializeVariableIdentifierFields
00000001d729e104 (__TEXT,__text) non-external _serializeWriteOutputFields
00000001d729a068 (__TEXT,__text) non-external _serialize_GLPASTNode
00000001d729cc6c (__TEXT,__text) non-external _serialize_GLPBufferObject
00000001d7297df0 (__TEXT,__text) non-external _serialize_GLPFunctionObject
00000001d729c348 (__TEXT,__text) non-external _serialize_GLPInterfaceBlockObject
00000001d7297d94 (__TEXT,__text) non-external _serialize_GLPLayoutObject
00000001d729a8b4 (__TEXT,__text) non-external _serialize_GLPLayoutPair
00000001d72761c4 (__TEXT,__text) non-external (was a private external) _serialize_GLPString
00000001d72a51f4 (__TEXT,__text) non-external _serialize_GLPSubroutineUniformObject
00000001d7295384 (__TEXT,__text) non-external (was a private external) _serialize_GLPType
00000001d729b364 (__TEXT,__text) non-external _serialize_GLPVariableObject
00000001d7275c6c (__TEXT,__text) non-external (was a private external) _serialize_pointer
00000001d72335e0 (__TEXT,__text) non-external _setArrayUsed
                 (undefined) external _setjmp (from libSystem)
00000001d7285e2c (__TEXT,__text) non-external _simple_str_getch
00000001d7285f3c (__TEXT,__text) non-external _simple_str_ungetch
                 (undefined) external _sinf (from libSystem)
                 (undefined) external _sinhf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _snprintf_l (from libSystem)
                 (undefined) external _sprintf_l (from libSystem)
                 (undefined) external _sqrt (from libSystem)
                 (undefined) external _sqrtf (from libSystem)
00000001d722e2b0 (__TEXT,__text) non-external _std140ArrayStrideForElementType
00000001d722e280 (__TEXT,__text) non-external _std140MatrixStride
00000001d722e2d4 (__TEXT,__text) non-external _std140MinimumStructAlignment
00000001d722e3c8 (__TEXT,__text) non-external _std140PrimitiveTypeAlign
00000001d722e2dc (__TEXT,__text) non-external _std140PrimitiveTypeSize
00000001d722e2d0 (__TEXT,__text) non-external _std140SizeToBytes
00000001d722e1d4 (__TEXT,__text) non-external _std140TypeAlign
00000001d722e0dc (__TEXT,__text) non-external _std140TypeSize
00000001d72859f0 (__TEXT,__text) non-external _str_getch
00000001d7285b1c (__TEXT,__text) non-external _str_ungetch
                 (undefined) external _strcat (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strndup (from libSystem)
                 (undefined) external _strtod_l (from libSystem)
                 (undefined) external _strtof_l (from libSystem)
                 (undefined) external _strtol_l (from libSystem)
                 (undefined) external _strtoll_l (from libSystem)
                 (undefined) external _strtoul_l (from libSystem)
                 (undefined) external _sysconf (from libSystem)
                 (undefined) external _tanf (from libSystem)
                 (undefined) external _tanhf (from libSystem)
00000001d72860e4 (__TEXT,__text) non-external _token_pasted_str_getch
00000001d728602c (__TEXT,__text) non-external _token_pasted_str_scan
00000001d72861ac (__TEXT,__text) non-external _token_pasted_str_ungetch
00000001e4f84a30 (__DATA_CONST,__const) non-external _tokens
00000001d7278d98 (__TEXT,__text) non-external _topLevelLookUpGLPBindingTypeFromStringHash
00000001d7267d04 (__TEXT,__text) non-external _topLevelLookUpObjectTypeFromStringHash
00000001d7278644 (__TEXT,__text) non-external _topLevelLookUpUniformBindingTypeFromStringHash
00000001d72af298 (__TEXT,__text) non-external _transformKids
                 (undefined) external _trunc (from libSystem)
                 (undefined) external _truncf (from libSystem)
00000001d7277ea4 (__TEXT,__text) non-external _typeFromGLPBinding
00000001d7279214 (__TEXT,__text) non-external _typeFromGLPUniformBinding
00000001d7278e44 (__TEXT,__text) non-external _typeFromGLPUniformBlockBinding
