00000002942a1c90 (__DATA,__data) non-external _.compoundliteral
0000000225af375c (__TEXT,__text) non-external _llvmir_PPStreamAddParamBindingArray
0000000225af36dc (__TEXT,__text) non-external _llvmir_PPStreamAddTempUsage
0000000225af3910 (__TEXT,__text) non-external _llvmir_PPStreamResolveBranches
0000000225af368c (__TEXT,__text) non-external _llvmir_PPStreamSetTarget
                 (undefined) external _log2f (from libSystem)
0000000225b9d7ac (__TEXT,__text) non-external _logLevelToString
                 (undefined) external _logf (from libSystem)
                 (undefined) external _longjmp (from libSystem)
                 (undefined) external _lroundf (from libSystem)
0000000225bb8360 (__TEXT,__text) non-external _macro_scan
0000000225b94fe8 (__TEXT,__text) non-external _makeCopyFunction
0000000225bdda60 (__TEXT,__text) non-external _makeIntConstantNode
0000000225b62978 (__TEXT,__text) non-external _makePoolNode
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
0000000225bb8d24 (__TEXT,__text) non-external (was a private external) _mem_AddCleanup
0000000225bb8c5c (__TEXT,__text) non-external (was a private external) _mem_Alloc
0000000225bb8b78 (__TEXT,__text) non-external (was a private external) _mem_CreatePool
0000000225bb8c10 (__TEXT,__text) non-external (was a private external) _mem_FreePool
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
0000000225b63efc (__TEXT,__text) non-external _mergeTypes
00000002942a6464 (__DATA,__bss) non-external _message
00000002942a6460 (__DATA,__bss) non-external _message_lock
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _mprotect (from libSystem)
                 (undefined) external _munmap (from libSystem)
00000002988da1a0 (__DATA_DIRTY,__data) non-external _mutex
0000000225b9e6bc (__TEXT,__text) non-external _nameTablePush
00000002988dbe90 (__DATA_DIRTY,__bss) non-external _nameTableSets
0000000225bb8ad4 (__TEXT,__text) non-external _noop
0000000225bba8c8 (__TEXT,__text) non-external _noop
0000000225b96b4c (__TEXT,__text) non-external _offsetLayout
0000000225bb6404 (__TEXT,__text) non-external _op_add
0000000225bb63a4 (__TEXT,__text) non-external _op_and
0000000225bb6454 (__TEXT,__text) non-external _op_cmpl
0000000225bb641c (__TEXT,__text) non-external _op_div
0000000225bb63ac (__TEXT,__text) non-external _op_eq
0000000225bb63d0 (__TEXT,__text) non-external _op_ge
0000000225bb63c4 (__TEXT,__text) non-external _op_gt
0000000225bb63e8 (__TEXT,__text) non-external _op_le
0000000225bb6384 (__TEXT,__text) non-external _op_logand
0000000225bb6374 (__TEXT,__text) non-external _op_logor
0000000225bb63dc (__TEXT,__text) non-external _op_lt
0000000225bb6430 (__TEXT,__text) non-external _op_mod
0000000225bb6414 (__TEXT,__text) non-external _op_mul
0000000225bb63b8 (__TEXT,__text) non-external _op_ne
0000000225bb644c (__TEXT,__text) non-external _op_neg
0000000225bb645c (__TEXT,__text) non-external _op_not
0000000225bb6394 (__TEXT,__text) non-external _op_or
0000000225bb6448 (__TEXT,__text) non-external _op_pos
0000000225bb63f4 (__TEXT,__text) non-external _op_shl
0000000225bb63fc (__TEXT,__text) non-external _op_shr
0000000225bb640c (__TEXT,__text) non-external _op_sub
0000000225bb639c (__TEXT,__text) non-external _op_xor
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_unfair_lock_lock (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
0000000225b9d470 (__TEXT,__text) non-external _outputForInput
0000000225b8ba70 (__TEXT,__text) non-external _packInto
0000000225ba3b80 (__TEXT,__text) non-external _parseInterpolationQualifiers
0000000225ba39d0 (__TEXT,__text) non-external _parseLayout
0000000225b63e30 (__TEXT,__text) non-external _phase1ProcessFunctionPrototype
0000000225b63bbc (__TEXT,__text) non-external _phase1ProcessVariableDeclaration
0000000225bdc754 (__TEXT,__text) non-external (was a private external) _phase2AddDef
0000000225bdc91c (__TEXT,__text) non-external _phase2Process
0000000225bdcad0 (__TEXT,__text) non-external _phase2ProcessConstant
0000000225bdcbac (__TEXT,__text) non-external _phase2ProcessFunctionPrototype
0000000225bdcc48 (__TEXT,__text) non-external _phase2ProcessInterfaceBlock
0000000225bdd0bc (__TEXT,__text) non-external _phase2ProcessLValue
0000000225bdcb40 (__TEXT,__text) non-external _phase2ProcessParameterDeclaration
0000000225bdccf8 (__TEXT,__text) non-external _phase2ProcessRawCall
0000000225bdce94 (__TEXT,__text) non-external _phase2ProcessSubroutineRawCall
0000000225bdd5a0 (__TEXT,__text) non-external _phase2ProcessSubroutineUniform
0000000225bdcbf4 (__TEXT,__text) non-external _phase2ProcessVariableDeclaration
0000000225b629ec (__TEXT,__text) non-external _poolAlloc
00000002988dbeb0 (__DATA_DIRTY,__bss) non-external _poolAllocators
0000000225b62a80 (__TEXT,__text) non-external _poolFree
0000000225b62a78 (__TEXT,__text) non-external _poolRealloc
0000000225c264a0 (__TEXT,__const) non-external _pow_10.down
0000000225c263a0 (__TEXT,__const) non-external _pow_10.up
                 (undefined) external _powf (from libSystem)
000000028f7effb0 (__DATA_CONST,__const) non-external (was a private external) _ppstreamOpString
0000000225b67788 (__TEXT,__text) non-external _primitiveTypeOfDeref
                 (undefined) external _printf (from libSystem)
0000000225b9d228 (__TEXT,__text) non-external _propagateCopyBindings
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
0000000225ba9d3c (__TEXT,__text) non-external (was a private external) _pushdownPrecisionInternal
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _qsort_b (from libSystem)
0000000225ba418c (__TEXT,__text) non-external _qualifierContextToString
0000000225ba2fcc (__TEXT,__text) non-external _qualifierMaskToSAFlags
0000000225ba3d1c (__TEXT,__text) non-external _qualifierMaskToStringBuffer
0000000225bb6468 (__TEXT,__text) non-external (was a private external) _readCPPline
0000000225b62c60 (__TEXT,__text) non-external _readTOC
0000000225bcc1f8 (__TEXT,__text) non-external (was a private external) _real_serialize_GLPValue
0000000225c063a8 (__TEXT,__text) non-external _regEqualsFunction
0000000225c063a0 (__TEXT,__text) non-external _regHashFunction
0000000225bbb9c4 (__TEXT,__text) non-external _reget_token
0000000225b9e86c (__TEXT,__text) non-external _remap
0000000225c276bc (__TEXT,__const) non-external (was a private external) _remapSlotToCode
0000000225bfccf4 (__TEXT,__text) non-external _renumberTargets
                 (undefined) external _round (from libSystem)
                 (undefined) external _roundf (from libSystem)
0000000225ba233c (__TEXT,__text) non-external _saInliningNodeReplacement
0000000225bbb880 (__TEXT,__text) non-external _scan_token
0000000225bd5f1c (__TEXT,__text) non-external _serializeASTFields
0000000225bd0a30 (__TEXT,__text) non-external _serializeAssignFields
0000000225bd371c (__TEXT,__text) non-external _serializeBlockFields
0000000225bd6ce8 (__TEXT,__text) non-external _serializeCallFields
0000000225bd3b1c (__TEXT,__text) non-external _serializeCaseStatementFields
0000000225bd0b98 (__TEXT,__text) non-external _serializeCommaExprFields
0000000225bd06a8 (__TEXT,__text) non-external _serializeConstantFields
0000000225bd3bf4 (__TEXT,__text) non-external _serializeDefaultStatementFields
0000000225bd0880 (__TEXT,__text) non-external _serializeEqualFields
0000000225bd071c (__TEXT,__text) non-external _serializeFieldAccessFields
0000000225bd1f20 (__TEXT,__text) non-external _serializeFieldDeclarationFields
0000000225bd0770 (__TEXT,__text) non-external _serializeFunctionCallFields
0000000225bd1000 (__TEXT,__text) non-external _serializeFunctionPrototypeFields
0000000225bd3280 (__TEXT,__text) non-external _serializeGlobalTypeQualifierFields
0000000225bd4e84 (__TEXT,__text) non-external _serializeIBPartialDerefFields
0000000225bd1fc8 (__TEXT,__text) non-external _serializeInterfaceBlockFields
0000000225bd2500 (__TEXT,__text) non-external _serializeKeywordQualifierFields
0000000225bd4af0 (__TEXT,__text) non-external _serializeLValueFields
0000000225bd32c8 (__TEXT,__text) non-external _serializeLayoutPairFields
0000000225bd2860 (__TEXT,__text) non-external _serializeLayoutQualifierFields
0000000225bd21a0 (__TEXT,__text) non-external _serializeLayoutTypeFields
0000000225bd082c (__TEXT,__text) non-external _serializeMethodCallFields
0000000225bd0958 (__TEXT,__text) non-external _serializeNotEqualFields
0000000225bd4124 (__TEXT,__text) non-external _serializeOffsetFields
0000000225c25a24 (__TEXT,__text) non-external _serializeOpAssignFields
0000000225bd4ecc (__TEXT,__text) non-external _serializePPStreamOpFields
0000000225bd0f98 (__TEXT,__text) non-external _serializeParameterDeclarationFields
0000000225bd1bc0 (__TEXT,__text) non-external _serializePrimitiveTypeFields
0000000225bd180c (__TEXT,__text) non-external _serializeQualifiedDeclarationFields
0000000225bd1860 (__TEXT,__text) non-external _serializeQualifiedDeclarationGroupFields
0000000225bd2f20 (__TEXT,__text) non-external _serializeQualifierListFields
0000000225bd4074 (__TEXT,__text) non-external _serializeRawCallFields
0000000225bd0b08 (__TEXT,__text) non-external _serializeReadInputFields
0000000225bd3ccc (__TEXT,__text) non-external _serializeReturnStatementFields
0000000225bd1f74 (__TEXT,__text) non-external _serializeStructTypeFields
0000000225bd7048 (__TEXT,__text) non-external _serializeStructureFields
0000000225bd07d8 (__TEXT,__text) non-external _serializeSubroutineArrayCallFields
0000000225bd40dc (__TEXT,__text) non-external _serializeSubroutineRawCallFields
0000000225bd2bc0 (__TEXT,__text) non-external _serializeSubroutineTypeListFields
0000000225bd5ed4 (__TEXT,__text) non-external _serializeSubroutineUniformFields
0000000225bd3d14 (__TEXT,__text) non-external _serializeTopLevelFields
0000000225bcfea4 (__TEXT,__text) non-external _serializeTypeConversionFields
0000000225bd0654 (__TEXT,__text) non-external _serializeTypeIdentifierFields
0000000225bd1394 (__TEXT,__text) non-external _serializeVariableDeclarationFields
0000000225bd14ac (__TEXT,__text) non-external _serializeVariableDeclarationGroupFields
0000000225bd0600 (__TEXT,__text) non-external _serializeVariableIdentifierFields
0000000225bd0b50 (__TEXT,__text) non-external _serializeWriteOutputFields
0000000225bcd080 (__TEXT,__text) non-external _serialize_GLPASTNode
0000000225bcf80c (__TEXT,__text) non-external _serialize_GLPBufferObject
0000000225bcb098 (__TEXT,__text) non-external _serialize_GLPFunctionObject
0000000225bcef88 (__TEXT,__text) non-external _serialize_GLPInterfaceBlockObject
0000000225bcb03c (__TEXT,__text) non-external _serialize_GLPLayoutObject
0000000225bcd728 (__TEXT,__text) non-external _serialize_GLPLayoutPair
0000000225baa7f0 (__TEXT,__text) non-external (was a private external) _serialize_GLPString
0000000225bd73a8 (__TEXT,__text) non-external _serialize_GLPSubroutineUniformObject
0000000225bc8d48 (__TEXT,__text) non-external (was a private external) _serialize_GLPType
0000000225bce0f0 (__TEXT,__text) non-external _serialize_GLPVariableObject
0000000225baa30c (__TEXT,__text) non-external (was a private external) _serialize_pointer
0000000225b677f0 (__TEXT,__text) non-external _setArrayUsed
                 (undefined) external _setjmp (from libSystem)
0000000225bba224 (__TEXT,__text) non-external _simple_str_getch
0000000225bba330 (__TEXT,__text) non-external _simple_str_ungetch
                 (undefined) external _sinf (from libSystem)
                 (undefined) external _sinhf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _snprintf_l (from libSystem)
                 (undefined) external _sprintf_l (from libSystem)
                 (undefined) external _sqrt (from libSystem)
                 (undefined) external _sqrtf (from libSystem)
0000000225b626ac (__TEXT,__text) non-external _std140ArrayStrideForElementType
0000000225b6267c (__TEXT,__text) non-external _std140MatrixStride
0000000225b626d0 (__TEXT,__text) non-external _std140MinimumStructAlignment
0000000225b627a8 (__TEXT,__text) non-external _std140PrimitiveTypeAlign
0000000225b626d8 (__TEXT,__text) non-external _std140PrimitiveTypeSize
0000000225b626cc (__TEXT,__text) non-external _std140SizeToBytes
0000000225b625d0 (__TEXT,__text) non-external _std140TypeAlign
0000000225b624e0 (__TEXT,__text) non-external _std140TypeSize
0000000225bb9dcc (__TEXT,__text) non-external _str_getch
0000000225bb9ef4 (__TEXT,__text) non-external _str_ungetch
                 (undefined) external _strcat (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strndup (from libSystem)
                 (undefined) external _strtod_l (from libSystem)
                 (undefined) external _strtof_l (from libSystem)
                 (undefined) external _strtol_l (from libSystem)
                 (undefined) external _strtoll_l (from libSystem)
                 (undefined) external _strtoul_l (from libSystem)
                 (undefined) external _sysconf (from libSystem)
                 (undefined) external _tanf (from libSystem)
                 (undefined) external _tanhf (from libSystem)
0000000225bba4ec (__TEXT,__text) non-external _token_pasted_str_getch
0000000225bba434 (__TEXT,__text) non-external _token_pasted_str_scan
0000000225bba5b0 (__TEXT,__text) non-external _token_pasted_str_ungetch
000000028f7edad8 (__DATA_CONST,__const) non-external _tokens
0000000225bad38c (__TEXT,__text) non-external _topLevelLookUpGLPBindingTypeFromStringHash
0000000225b9d60c (__TEXT,__text) non-external _topLevelLookUpObjectTypeFromStringHash
0000000225bacc20 (__TEXT,__text) non-external _topLevelLookUpUniformBindingTypeFromStringHash
