00007ffb0789f0c7 (__TEXT,__text) non-external +[GKBrush brush]
00007ffb0789d687 (__TEXT,__text) non-external ___67-[GKLocalImageSource cachedImageFromGamedWithSubdirectory:handler:]_block_invoke.450
00007ffb078cea35 (__TEXT,__text) non-external ___67-[GKLocalImageSource cachedImageFromGamedWithSubdirectory:handler:]_block_invoke.450.cold.1
00007ffb078ceb1e (__TEXT,__text) non-external ___67-[GKLocalImageSource cachedImageFromGamedWithSubdirectory:handler:]_block_invoke.450.cold.2
00007ffb0789d9ac (__TEXT,__text) non-external ___67-[GKLocalImageSource cachedImageFromGamedWithSubdirectory:handler:]_block_invoke.457
00007ffb078ce954 (__TEXT,__text) non-external ___67-[GKLocalImageSource cachedImageFromGamedWithSubdirectory:handler:]_block_invoke.cold.1
00007ffb078c53c4 (__TEXT,__text) non-external ___67-[GKServerWebViewController webView:didClearWindowObject:forFrame:]_block_invoke
00007ffb07882e79 (__TEXT,__text) non-external ___69-[GKLocalPlayerAuthenticator cancelAuthDueToAuthKitErrorWithHandler:]_block_invoke
00007ffb07882f0c (__TEXT,__text) non-external ___69-[GKLocalPlayerAuthenticator cancelAuthDueToAuthKitErrorWithHandler:]_block_invoke.109
00007ffb078c01ba (__TEXT,__text) non-external ___69-[GKServerWebViewJSRoot alert:message:defaultButton:secondaryButton:]_block_invoke
00007ffb078b0b62 (__TEXT,__text) non-external ___69-[NSViewController(GKAdditions) _gkSetContentsNeedUpdateWithHandler:]_block_invoke
00007ffb078b108b (__TEXT,__text) non-external ___69-[NSViewController(GKAdditions) _gkSetContentsNeedUpdateWithHandler:]_block_invoke.292
00007ffb078cf1b9 (__TEXT,__text) non-external ___69-[NSViewController(GKAdditions) _gkSetContentsNeedUpdateWithHandler:]_block_invoke.292.cold.1
00007ffb078b12a7 (__TEXT,__text) non-external ___69-[NSViewController(GKAdditions) _gkSetContentsNeedUpdateWithHandler:]_block_invoke.298
00007ffb078b13b2 (__TEXT,__text) non-external ___69-[NSViewController(GKAdditions) _gkSetContentsNeedUpdateWithHandler:]_block_invoke.304
00007ffb078b13ce (__TEXT,__text) non-external ___69-[NSViewController(GKAdditions) _gkSetContentsNeedUpdateWithHandler:]_block_invoke.307
00007ffb078b0c49 (__TEXT,__text) non-external ___69-[NSViewController(GKAdditions) _gkSetContentsNeedUpdateWithHandler:]_block_invoke_2
00007ffb078b0cf3 (__TEXT,__text) non-external ___69-[NSViewController(GKAdditions) _gkSetContentsNeedUpdateWithHandler:]_block_invoke_3
00007ffb078cf03d (__TEXT,__text) non-external ___69-[NSViewController(GKAdditions) _gkSetContentsNeedUpdateWithHandler:]_block_invoke_3.cold.1
00007ffb078cf0fb (__TEXT,__text) non-external ___69-[NSViewController(GKAdditions) _gkSetContentsNeedUpdateWithHandler:]_block_invoke_3.cold.2
00007ffb078915bc (__TEXT,__text) non-external ___70+[GKLocalPlayer(AuthenticationPrivate) sharedLocalPlayerAuthenticator]_block_invoke
00007ffb0789b2c0 (__TEXT,__text) non-external ___70-[GKNetworkImageSource loadImageForURLString:reference:queue:handler:]_block_invoke
00007ffb0789b3bc (__TEXT,__text) non-external ___70-[GKNetworkImageSource loadImageForURLString:reference:queue:handler:]_block_invoke_2
00007ffb0789ece3 (__TEXT,__text) non-external ___71+[GKScreenConfigurationController _scaleForCurrentDisplayConfiguration]_block_invoke
00007ffb0789de3b (__TEXT,__text) non-external ___72-[GKLocalImageSource deleteImageUsingGamedWithSubdirectory:withHandler:]_block_invoke
00007ffb0789dfc8 (__TEXT,__text) non-external ___72-[GKLocalImageSource deleteImageUsingGamedWithSubdirectory:withHandler:]_block_invoke.465
00007ffb0789dfbc (__TEXT,__text) non-external ___72-[GKLocalImageSource deleteImageUsingGamedWithSubdirectory:withHandler:]_block_invoke_2
00007ffb0789db46 (__TEXT,__text) non-external ___73-[GKLocalImageSource cacheImageUsingGamed:cacheSubdirectory:withHandler:]_block_invoke
00007ffb0789dd04 (__TEXT,__text) non-external ___73-[GKLocalImageSource cacheImageUsingGamed:cacheSubdirectory:withHandler:]_block_invoke.462
00007ffb0789dcf8 (__TEXT,__text) non-external ___73-[GKLocalImageSource cacheImageUsingGamed:cacheSubdirectory:withHandler:]_block_invoke_2
00007ffb078c3933 (__TEXT,__text) non-external ___73-[GKServerWebViewController getAuthTokenForPlayer:withCompletionHandler:]_block_invoke
00007ffb07895093 (__TEXT,__text) non-external ___75-[GKLocalPlayer(AuthenticationPrivate) authenticationDidCompleteWithError:]_block_invoke
00007ffb078a1e6a (__TEXT,__text) non-external ___75-[UXViewController(GKAlerts) _gkPresentAlertForError:title:defaultMessage:]_block_invoke
00007ffb0788fdf7 (__TEXT,__text) non-external ___77+[NSImage(GKAdditions) _gkloadRemoteImageForURL:queue:withCompletionHandler:]_block_invoke
00007ffb0788fe41 (__TEXT,__text) non-external ___77+[NSImage(GKAdditions) _gkloadRemoteImageForURL:queue:withCompletionHandler:]_block_invoke_2
00007ffb0789c5db (__TEXT,__text) non-external ___77-[GKNetworkImageSource loadImageForURLString:loader:reference:queue:handler:]_block_invoke
00007ffb0789cead (__TEXT,__text) non-external ___77-[GKNetworkImageSource loadImageForURLString:loader:reference:queue:handler:]_block_invoke.428
00007ffb0789cf5b (__TEXT,__text) non-external ___77-[GKNetworkImageSource loadImageForURLString:loader:reference:queue:handler:]_block_invoke.429
00007ffb0789c6d4 (__TEXT,__text) non-external ___77-[GKNetworkImageSource loadImageForURLString:loader:reference:queue:handler:]_block_invoke_2
00007ffb078ce7d7 (__TEXT,__text) non-external ___77-[GKNetworkImageSource loadImageForURLString:loader:reference:queue:handler:]_block_invoke_2.cold.1
00007ffb0789cb43 (__TEXT,__text) non-external ___77-[GKNetworkImageSource loadImageForURLString:loader:reference:queue:handler:]_block_invoke_3
00007ffb0789cc00 (__TEXT,__text) non-external ___77-[GKNetworkImageSource loadImageForURLString:loader:reference:queue:handler:]_block_invoke_4
00007ffb0789ccd7 (__TEXT,__text) non-external ___77-[GKNetworkImageSource loadImageForURLString:loader:reference:queue:handler:]_block_invoke_5
00007ffb078ce895 (__TEXT,__text) non-external ___77-[GKNetworkImageSource loadImageForURLString:loader:reference:queue:handler:]_block_invoke_5.cold.1
00007ffb078c52fd (__TEXT,__text) non-external ___78-[GKServerWebViewController webView:didFailProvisionalLoadWithError:forFrame:]_block_invoke
00007ffb07896fd3 (__TEXT,__text) non-external ___79-[GKLocalPlayer(AuthenticationUIMacOS) authenticateLocalPlayer:window:handler:]_block_invoke
00007ffb0789700a (__TEXT,__text) non-external ___79-[GKLocalPlayer(AuthenticationUIMacOS) authenticateLocalPlayer:window:handler:]_block_invoke_2
00007ffb078a4839 (__TEXT,__text) non-external ___79-[_GKAlert beginDialogModalForWindow:modalDelegate:didEndSelector:contextInfo:]_block_invoke
00007ffb078a4953 (__TEXT,__text) non-external ___79-[_GKAlert beginDialogModalForWindow:modalDelegate:didEndSelector:contextInfo:]_block_invoke_2
00007ffb078ab499 (__TEXT,__text) non-external ___80+[GKRemoteViewControllerProxy requestRemoteViewControllerWithConnectionHandler:]_block_invoke
00007ffb078ab56e (__TEXT,__text) non-external ___80+[GKRemoteViewControllerProxy requestRemoteViewControllerWithConnectionHandler:]_block_invoke_2
00007ffb0788e8e1 (__TEXT,__text) non-external ___82-[NSString(GKTextStyle) _gkAttributedStringByApplyingStylesForTags:untaggedStyle:]_block_invoke
00007ffb0788e8fc (__TEXT,__text) non-external ___82-[NSString(GKTextStyle) _gkAttributedStringByApplyingStylesForTags:untaggedStyle:]_block_invoke.399
00007ffb0788e934 (__TEXT,__text) non-external ___82-[NSString(GKTextStyle) _gkAttributedStringByApplyingStylesForTags:untaggedStyle:]_block_invoke.401
00007ffb078a523a (__TEXT,__text) non-external ___83+[NSImage(GKAdditions_UIKit) _gkloadRemoteImageForURL:queue:withCompletionHandler:]_block_invoke
00007ffb078a5284 (__TEXT,__text) non-external ___83+[NSImage(GKAdditions_UIKit) _gkloadRemoteImageForURL:queue:withCompletionHandler:]_block_invoke_2
00007ffb078938a9 (__TEXT,__text) non-external ___83-[GKLocalPlayer(AuthenticationPrivate) startAuthenticationForExistingPrimaryPlayer]_block_invoke
00007ffb078874fd (__TEXT,__text) non-external ___84+[GKTextStyle attributedString:byReplayingFromBaseStyle:systemContentSizeDidChange:]_block_invoke
00007ffb078952ff (__TEXT,__text) non-external ___84-[GKLocalPlayer(AuthenticationPrivate) validateAccountWithWindow:completionHandler:]_block_invoke
00007ffb078958c5 (__TEXT,__text) non-external ___87-[GKLocalPlayer(AuthenticationPrivate) startLegacyAuthenticationWithCompletionHandler:]_block_invoke
00007ffb0789597e (__TEXT,__text) non-external ___87-[GKLocalPlayer(AuthenticationPrivate) startLegacyAuthenticationWithCompletionHandler:]_block_invoke.456
00007ffb078c045a (__TEXT,__text) non-external ___88-[GKServerWebViewJSRoot reauthenticateWithDisplayTitle:displayString:username:callback:]_block_invoke
00007ffb078927c0 (__TEXT,__text) non-external ___89-[GKLocalPlayer(AuthenticationPrivate) authenticationShowSignInUIForLocalPlayer:dismiss:]_block_invoke
00007ffb078a1b4a (__TEXT,__text) non-external ___93-[UXViewController(GKAlerts) _gkPresentConfirmationAlertWithTitle:message:buttonTitle:block:]_block_invoke
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffb07887328 (__TEXT,__text) non-external ___GKIsAvatarEditingSupported_block_invoke
00007ffb078a6bbe (__TEXT,__text) non-external ___GKIsVoiceoverEnabled_block_invoke
                 (undefined) external ___NSArray0__struct (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
00007ffb078a16b9 (__TEXT,__text) non-external ____annotateDrawInRectWithContextAndInput_block_invoke
00007ffb4031d2b8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e14_"NSImage"8?0l
00007ffb4031d400 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e17_v16?0"NSError"8l
00007ffb4031c870 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e17_v16?0"NSTimer"8l
00007ffb4031d0b8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e23_v16?0"UXAlertAction"8l
00007ffb4031d278 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e24_v16?0"GKImageContext"8l
00007ffb4031d188 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e27_"GKNetworkImageSource"8?0l
00007ffb4031c410 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e34_v24?0"NSDictionary"8"NSError"16l
00007ffb4031c940 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e38_v24?0"NSViewController"8"NSError"16l
00007ffb4031cb88 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e39_q24?0"SortHueEntry"8"SortHueEntry"16l
00007ffb4031c3d0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e44_v24?0"GKAuthenticateResponse"8"NSError"16l
00007ffb4031cb00 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00007ffb4031d1c8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e5_8?0l
00007ffb4031c770 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e5_v8?0l
00007ffb4031cc48 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e17_v16?0"NSImage"8l
00007ffb4031d088 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e23_v16?0"UXAlertAction"8l
00007ffb4031c510 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e28_v24?0"NSData"8"NSError"16l
00007ffb4031d440 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e44_v24?0"NSRemoteViewController"8"NSError"16l
00007ffb4031cee8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e5_v8?0l
00007ffb4031ca70 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e65_v40?0q8"GKLocalPlayer"16"NSError"24"GKAuthenticateResponse"32l
00007ffb4031d800 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e84_v56?0"NSString"8"NSString"16"NSString"24"NSData"32"NSDictionary"40"NSError"48l
00007ffb4031c8b0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e8_v16?0q8l
00007ffb4031cf68 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32r_e25_v32?0"NSScreen"8Q16^c24l
00007ffb4031c540 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32r_e5_v8?0l
00007ffb4031d628 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e14_v16?0?<v?>8l
00007ffb4031d378 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e15_v32?08Q16^c24l
00007ffb4031d550 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e17_v16?0"NSError"8l
00007ffb4031c628 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e21_v16?0"GKTextStyle"8l
00007ffb4031cb58 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e25_v20?0^{HSVColor=ddd}8I16l
00007ffb4031d248 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e27_"GKNetworkImageSource"8?0l
00007ffb4031d520 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e30_v32?0"UXAlertAction"8Q16^c24l
00007ffb4031c7c0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e44_v24?0"GKAuthenticateResponse"8"NSError"16l
00007ffb4031d4b0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e46_v24?0"<GKRemoteViewController>"8"NSError"16l
00007ffb4031d218 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e5_8?0l
00007ffb4031c810 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e5_v8?0l
00007ffb4031d8e0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e8_v16?0q8l
00007ffb4031c8e0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e5_v8?0l
00007ffb4031d798 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_41_e8_32s_e44_v24?0"GKAuthenticateResponse"8"NSError"16l
00007ffb4031cff8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e24_v16?0"GKImageContext"8l
00007ffb4031d688 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40w_e5_v8?0l
00007ffb4031c688 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32r_e8_c16?0q8l
00007ffb4031c708 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e16_v16?0"NSData"8l
00007ffb4031c9e0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e17_v16?0"NSError"8l
00007ffb4031cad0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e23_v16?0"GKLocalPlayer"8l
00007ffb4031d830 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e30_v24?0"NSString"8"NSError"16l
00007ffb4031d658 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e37_v16?0"NSObject<OS_dispatch_group>"8l
00007ffb4031c980 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e38_v24?0"NSViewController"8"NSError"16l
00007ffb4031c9b0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e5_v8?0l
00007ffb4031d910 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e84_v56?0"NSString"8"NSString"16"NSString"24"NSData"32"NSDictionary"40"NSError"48l
00007ffb4031caa0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e8_v16?0q8l
00007ffb4031c4b0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e95_v64?0"NSString"8"NSString"16"NSString"24"NSString"32"NSString"40"NSString"48"NSError"56l
00007ffb4031cf18 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e14_v16?0?<v?>8l
00007ffb4031d8b0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e17_v16?0"NSError"8l
00007ffb4031d3d0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e24_v16?0"NSNotification"8l
00007ffb4031cc78 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e24_v16?0?<v?"NSImage">8l
00007ffb4031d750 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e31_v24?0"GKPlayer"8"NSString"16l
00007ffb4031c840 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e34_v24?0"NSDictionary"8"NSError"16l
00007ffb4031c790 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e5_v8?0l
00007ffb4031c910 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e65_v40?0q8"GKLocalPlayer"16"NSError"24"GKAuthenticateResponse"32l
00007ffb4031d860 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e84_v56?0"NSString"8"NSString"16"NSString"24"NSData"32"NSDictionary"40"NSError"48l
