0000000293e69c90 (__DATA,__data) non-external _.compoundliteral
0000000225658ae0 (__TEXT,__text) non-external (was a private external) _glvmWindowTransformGP
000000022564fd4c (__TEXT,__text) non-external (was a private external) _glvmWindowTransformVP
0000000298466230 (__DATA_DIRTY,__bss) non-external _glvm_constants
0000000298466220 (__DATA_DIRTY,__bss) non-external _glvm_constants_init
00000002256ab8cc (__TEXT,__text) non-external _handleResetPost
00000002256ab86c (__TEXT,__text) non-external _handleResetPre
00000002256b147c (__TEXT,__text) non-external _humanReadableDescriptionToBuffer
00000002256ba014 (__TEXT,__text) non-external _include_str_getch
00000002256ba12c (__TEXT,__text) non-external _include_str_ungetch
00000002256b0c2c (__TEXT,__text) non-external _initAggregateType
00000002256bff08 (__TEXT,__text) non-external _initBinaryOperatorNode
0000000225666ad0 (__TEXT,__text) non-external _initTypeWithGLPPrimitiveType
00000002256e0c14 (__TEXT,__text) non-external _inliningNodeReplacement
000000022569c50c (__TEXT,__text) non-external _inputForOutput
0000000225709a94 (__TEXT,__text) non-external _instructionIndexEqualsFunction
0000000225709a90 (__TEXT,__text) non-external _instructionIndexHashFunction
0000000225693058 (__TEXT,__text) non-external _isBuiltinName
0000000225696d0c (__TEXT,__text) non-external _isBuiltinName
00000002256f935c (__TEXT,__text) non-external _iterateQualifiers
00000002256bb114 (__TEXT,__text) non-external _lAddByte
00000002256ba8cc (__TEXT,__text) non-external _lFloatConst
00000002256bafa4 (__TEXT,__text) non-external _lNewBlock
00000002256bb6e4 (__TEXT,__text) non-external _lReadByte
00000002256b6118 (__TEXT,__text) non-external (was a private external) _lazyCPPSetup
00000002256dd690 (__TEXT,__text) non-external _lazyPrepareVariableObject
                 (undefined) external _ldexp (from libSystem)
                 (undefined) external _ldexpf (from libSystem)
00000002255f36e0 (__TEXT,__text) non-external _llvmir_PPStreamAddAddressUsage
00000002255f3760 (__TEXT,__text) non-external _llvmir_PPStreamAddAttribBinding
00000002255f3888 (__TEXT,__text) non-external _llvmir_PPStreamAddConstant
00000002255f3908 (__TEXT,__text) non-external _llvmir_PPStreamAddLabel
00000002255f3694 (__TEXT,__text) non-external _llvmir_PPStreamAddOperation
00000002255f3870 (__TEXT,__text) non-external _llvmir_PPStreamAddOption
00000002255f37f4 (__TEXT,__text) non-external _llvmir_PPStreamAddOutputBinding
00000002255f36e4 (__TEXT,__text) non-external _llvmir_PPStreamAddParamBinding
00000002255f375c (__TEXT,__text) non-external _llvmir_PPStreamAddParamBindingArray
00000002255f36dc (__TEXT,__text) non-external _llvmir_PPStreamAddTempUsage
00000002255f3910 (__TEXT,__text) non-external _llvmir_PPStreamResolveBranches
00000002255f368c (__TEXT,__text) non-external _llvmir_PPStreamSetTarget
                 (undefined) external _log2f (from libSystem)
000000022569d7ac (__TEXT,__text) non-external _logLevelToString
                 (undefined) external _logf (from libSystem)
                 (undefined) external _longjmp (from libSystem)
                 (undefined) external _lroundf (from libSystem)
00000002256b8360 (__TEXT,__text) non-external _macro_scan
0000000225694fe8 (__TEXT,__text) non-external _makeCopyFunction
00000002256dda60 (__TEXT,__text) non-external _makeIntConstantNode
0000000225662978 (__TEXT,__text) non-external _makePoolNode
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00000002256b8d24 (__TEXT,__text) non-external (was a private external) _mem_AddCleanup
00000002256b8c5c (__TEXT,__text) non-external (was a private external) _mem_Alloc
00000002256b8b78 (__TEXT,__text) non-external (was a private external) _mem_CreatePool
00000002256b8c10 (__TEXT,__text) non-external (was a private external) _mem_FreePool
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
0000000225663efc (__TEXT,__text) non-external _mergeTypes
0000000293e6e464 (__DATA,__bss) non-external _message
0000000293e6e460 (__DATA,__bss) non-external _message_lock
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _mprotect (from libSystem)
                 (undefined) external _munmap (from libSystem)
00000002984661a0 (__DATA_DIRTY,__data) non-external _mutex
000000022569e6bc (__TEXT,__text) non-external _nameTablePush
0000000298467e90 (__DATA_DIRTY,__bss) non-external _nameTableSets
00000002256b8ad4 (__TEXT,__text) non-external _noop
00000002256ba8c8 (__TEXT,__text) non-external _noop
0000000225696b4c (__TEXT,__text) non-external _offsetLayout
00000002256b6404 (__TEXT,__text) non-external _op_add
00000002256b63a4 (__TEXT,__text) non-external _op_and
00000002256b6454 (__TEXT,__text) non-external _op_cmpl
00000002256b641c (__TEXT,__text) non-external _op_div
00000002256b63ac (__TEXT,__text) non-external _op_eq
00000002256b63d0 (__TEXT,__text) non-external _op_ge
00000002256b63c4 (__TEXT,__text) non-external _op_gt
00000002256b63e8 (__TEXT,__text) non-external _op_le
00000002256b6384 (__TEXT,__text) non-external _op_logand
00000002256b6374 (__TEXT,__text) non-external _op_logor
00000002256b63dc (__TEXT,__text) non-external _op_lt
00000002256b6430 (__TEXT,__text) non-external _op_mod
00000002256b6414 (__TEXT,__text) non-external _op_mul
00000002256b63b8 (__TEXT,__text) non-external _op_ne
00000002256b644c (__TEXT,__text) non-external _op_neg
00000002256b645c (__TEXT,__text) non-external _op_not
00000002256b6394 (__TEXT,__text) non-external _op_or
00000002256b6448 (__TEXT,__text) non-external _op_pos
00000002256b63f4 (__TEXT,__text) non-external _op_shl
00000002256b63fc (__TEXT,__text) non-external _op_shr
00000002256b640c (__TEXT,__text) non-external _op_sub
00000002256b639c (__TEXT,__text) non-external _op_xor
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_unfair_lock_lock (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
000000022569d470 (__TEXT,__text) non-external _outputForInput
000000022568ba70 (__TEXT,__text) non-external _packInto
00000002256a3b80 (__TEXT,__text) non-external _parseInterpolationQualifiers
00000002256a39d0 (__TEXT,__text) non-external _parseLayout
0000000225663e30 (__TEXT,__text) non-external _phase1ProcessFunctionPrototype
0000000225663bbc (__TEXT,__text) non-external _phase1ProcessVariableDeclaration
00000002256dc754 (__TEXT,__text) non-external (was a private external) _phase2AddDef
00000002256dc91c (__TEXT,__text) non-external _phase2Process
00000002256dcad0 (__TEXT,__text) non-external _phase2ProcessConstant
00000002256dcbac (__TEXT,__text) non-external _phase2ProcessFunctionPrototype
00000002256dcc48 (__TEXT,__text) non-external _phase2ProcessInterfaceBlock
00000002256dd0bc (__TEXT,__text) non-external _phase2ProcessLValue
00000002256dcb40 (__TEXT,__text) non-external _phase2ProcessParameterDeclaration
00000002256dccf8 (__TEXT,__text) non-external _phase2ProcessRawCall
00000002256dce94 (__TEXT,__text) non-external _phase2ProcessSubroutineRawCall
00000002256dd5a0 (__TEXT,__text) non-external _phase2ProcessSubroutineUniform
00000002256dcbf4 (__TEXT,__text) non-external _phase2ProcessVariableDeclaration
00000002256629ec (__TEXT,__text) non-external _poolAlloc
0000000298467eb0 (__DATA_DIRTY,__bss) non-external _poolAllocators
0000000225662a80 (__TEXT,__text) non-external _poolFree
0000000225662a78 (__TEXT,__text) non-external _poolRealloc
00000002257264a0 (__TEXT,__const) non-external _pow_10.down
00000002257263a0 (__TEXT,__const) non-external _pow_10.up
                 (undefined) external _powf (from libSystem)
000000028f3b8490 (__DATA_CONST,__const) non-external (was a private external) _ppstreamOpString
0000000225667788 (__TEXT,__text) non-external _primitiveTypeOfDeref
                 (undefined) external _printf (from libSystem)
000000022569d228 (__TEXT,__text) non-external _propagateCopyBindings
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00000002256a9d3c (__TEXT,__text) non-external (was a private external) _pushdownPrecisionInternal
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _qsort_b (from libSystem)
00000002256a418c (__TEXT,__text) non-external _qualifierContextToString
00000002256a2fcc (__TEXT,__text) non-external _qualifierMaskToSAFlags
00000002256a3d1c (__TEXT,__text) non-external _qualifierMaskToStringBuffer
00000002256b6468 (__TEXT,__text) non-external (was a private external) _readCPPline
0000000225662c60 (__TEXT,__text) non-external _readTOC
00000002256cc1f8 (__TEXT,__text) non-external (was a private external) _real_serialize_GLPValue
00000002257063a8 (__TEXT,__text) non-external _regEqualsFunction
00000002257063a0 (__TEXT,__text) non-external _regHashFunction
00000002256bb9c4 (__TEXT,__text) non-external _reget_token
000000022569e86c (__TEXT,__text) non-external _remap
00000002257276bc (__TEXT,__const) non-external (was a private external) _remapSlotToCode
00000002256fccf4 (__TEXT,__text) non-external _renumberTargets
                 (undefined) external _round (from libSystem)
                 (undefined) external _roundf (from libSystem)
00000002256a233c (__TEXT,__text) non-external _saInliningNodeReplacement
00000002256bb880 (__TEXT,__text) non-external _scan_token
00000002256d5f1c (__TEXT,__text) non-external _serializeASTFields
00000002256d0a30 (__TEXT,__text) non-external _serializeAssignFields
00000002256d371c (__TEXT,__text) non-external _serializeBlockFields
00000002256d6ce8 (__TEXT,__text) non-external _serializeCallFields
00000002256d3b1c (__TEXT,__text) non-external _serializeCaseStatementFields
00000002256d0b98 (__TEXT,__text) non-external _serializeCommaExprFields
00000002256d06a8 (__TEXT,__text) non-external _serializeConstantFields
00000002256d3bf4 (__TEXT,__text) non-external _serializeDefaultStatementFields
00000002256d0880 (__TEXT,__text) non-external _serializeEqualFields
00000002256d071c (__TEXT,__text) non-external _serializeFieldAccessFields
00000002256d1f20 (__TEXT,__text) non-external _serializeFieldDeclarationFields
00000002256d0770 (__TEXT,__text) non-external _serializeFunctionCallFields
00000002256d1000 (__TEXT,__text) non-external _serializeFunctionPrototypeFields
00000002256d3280 (__TEXT,__text) non-external _serializeGlobalTypeQualifierFields
00000002256d4e84 (__TEXT,__text) non-external _serializeIBPartialDerefFields
00000002256d1fc8 (__TEXT,__text) non-external _serializeInterfaceBlockFields
00000002256d2500 (__TEXT,__text) non-external _serializeKeywordQualifierFields
00000002256d4af0 (__TEXT,__text) non-external _serializeLValueFields
00000002256d32c8 (__TEXT,__text) non-external _serializeLayoutPairFields
00000002256d2860 (__TEXT,__text) non-external _serializeLayoutQualifierFields
00000002256d21a0 (__TEXT,__text) non-external _serializeLayoutTypeFields
00000002256d082c (__TEXT,__text) non-external _serializeMethodCallFields
00000002256d0958 (__TEXT,__text) non-external _serializeNotEqualFields
00000002256d4124 (__TEXT,__text) non-external _serializeOffsetFields
0000000225725a24 (__TEXT,__text) non-external _serializeOpAssignFields
00000002256d4ecc (__TEXT,__text) non-external _serializePPStreamOpFields
00000002256d0f98 (__TEXT,__text) non-external _serializeParameterDeclarationFields
00000002256d1bc0 (__TEXT,__text) non-external _serializePrimitiveTypeFields
00000002256d180c (__TEXT,__text) non-external _serializeQualifiedDeclarationFields
00000002256d1860 (__TEXT,__text) non-external _serializeQualifiedDeclarationGroupFields
00000002256d2f20 (__TEXT,__text) non-external _serializeQualifierListFields
00000002256d4074 (__TEXT,__text) non-external _serializeRawCallFields
00000002256d0b08 (__TEXT,__text) non-external _serializeReadInputFields
00000002256d3ccc (__TEXT,__text) non-external _serializeReturnStatementFields
00000002256d1f74 (__TEXT,__text) non-external _serializeStructTypeFields
00000002256d7048 (__TEXT,__text) non-external _serializeStructureFields
00000002256d07d8 (__TEXT,__text) non-external _serializeSubroutineArrayCallFields
00000002256d40dc (__TEXT,__text) non-external _serializeSubroutineRawCallFields
00000002256d2bc0 (__TEXT,__text) non-external _serializeSubroutineTypeListFields
00000002256d5ed4 (__TEXT,__text) non-external _serializeSubroutineUniformFields
00000002256d3d14 (__TEXT,__text) non-external _serializeTopLevelFields
00000002256cfea4 (__TEXT,__text) non-external _serializeTypeConversionFields
00000002256d0654 (__TEXT,__text) non-external _serializeTypeIdentifierFields
00000002256d1394 (__TEXT,__text) non-external _serializeVariableDeclarationFields
00000002256d14ac (__TEXT,__text) non-external _serializeVariableDeclarationGroupFields
00000002256d0600 (__TEXT,__text) non-external _serializeVariableIdentifierFields
00000002256d0b50 (__TEXT,__text) non-external _serializeWriteOutputFields
00000002256cd080 (__TEXT,__text) non-external _serialize_GLPASTNode
00000002256cf80c (__TEXT,__text) non-external _serialize_GLPBufferObject
00000002256cb098 (__TEXT,__text) non-external _serialize_GLPFunctionObject
